head_id,relation_id,tail_id
282427,13,457168
1122116,35,2188654
378148,13,368847
47748,16,627388
1226440,21,1869431
13872,65,7651
506132,13,499553
28465,35,1231
1923109,63,1923701
281754,13,502145
289974,41,2191335
17426,55,1540804
10170,21,2999
1912640,7,1269288
610462,41,2147489
7619,6,7620
1665946,13,1659480
43454,13,362367
1949577,62,3396
120222,35,2857
102148,88,307298
1241781,13,498140
364120,6,716
375304,13,559371
376441,13,367518
1238822,109,314897
280038,16,2077296
377568,13,405084
2066144,88,108
811789,40,884449
37889,6,2750
849217,13,1123633
14148,45,10181
374476,13,368560
1921361,40,1921364
88463,41,2095890
1228184,7,864733
372977,13,133899
1989423,13,1930980
1976677,13,1371905
357301,35,888597
469577,6,320106
78041,54,78043
770297,13,783026
801107,13,649428
851910,13,764023
95959,40,947770
1934535,7,1934259
75596,48,915449
1658328,63,1656699
1412936,7,786940
1476652,13,861944
2054410,63,2054972
469425,6,320180
462086,7,1919902
372861,13,498262
2159491,13,2155563
1271665,13,1261396
1972766,106,17804
237466,41,915711
809042,13,1424404
1544508,16,1842096
811062,7,1860821
33767,26,1381791
376243,13,370627
2041703,7,2042958
376954,13,369137
126544,13,173588
37860,20,665654
390507,54,119206
396577,65,2795
1450251,13,1578352
321988,6,16642
102599,6,13608
1773833,63,1521262
787304,13,783027
2149031,40,2033762
314553,41,78105
1544802,13,1544805
2174408,7,2174207
1997053,7,1777381
2064326,109,314897
357549,6,526588
1629573,7,1603566
7031,62,548
1572776,106,16685
1587704,63,843634
2004295,63,2003683
1917522,7,810612
872249,13,852786
383638,16,768585
851225,13,499041
162239,48,1860683
2243,40,923542
45202,54,14741
121786,106,146909
17423,40,1365754
1870332,13,1870164
1917221,7,809357
51985,26,2120709
1863074,13,498828
12696,13,665894
624535,106,235145
218977,106,668703
14286,6,15766
11899,7,1112808
1913856,7,257206
404699,13,1419902
13750,20,665624
376196,13,500469
837553,62,7655
3246,6,3242
851281,13,501495
503674,13,498074
1434357,13,785377
852439,13,1371756
9736,40,121434
1260996,13,281641
364675,26,1283299
120854,88,285059
120799,65,54220
1773697,63,1774055
374518,13,366169
320703,6,1736
554877,13,554253
1644619,63,833304
16760,20,665656
1997068,7,1996240
2092897,62,1270
162239,54,7487
813,7,1254047
364363,40,109982
1792172,13,1232951
320913,6,3876
1400204,62,8157
1914152,7,283050
852167,13,763578
1916684,7,789038
420573,7,417236
816048,13,410219
762666,13,1114179
380407,20,665734
36972,13,1432958
1052,7,1450884
1829696,63,1829870
375017,13,771398
392735,54,883
1916801,7,1613979
17209,45,6544
303301,106,5232
1264515,13,1875228
374933,13,458259
91195,42,70519
2106134,13,2106138
16119,26,1352134
318571,13,769293
133913,13,792088
2077969,13,2045435
1830134,63,1829674
177209,7,1112773
1915218,7,1674633
41314,13,457777
54907,109,742792
1658534,63,1238530
1415746,16,1605711
469369,65,4095
1769183,40,2187130
821058,13,365894
374537,13,500505
1755313,63,1775514
743753,106,5232
1915436,7,874839
25405,7,125292
271989,6,14814
1994141,13,1993737
120984,35,143010
1644805,63,845777
316382,42,778035
1899,16,1932310
872302,13,872305
9097,42,192397
1915514,7,747780
8177,16,372467
168039,109,742791
2035667,62,535
121809,106,12543
9484,40,677716
45105,13,361289
863423,13,863424
1279420,63,1239099
816606,106,4834
389602,65,52548
116599,6,320303
850711,13,1264040
2194791,7,1459437
364492,40,811822
357474,35,252345
246339,48,2187709
96625,35,939435
1378556,48,1452528
11957,88,108
5643,40,1547741
1185,6,1179
1400104,63,1400817
2015073,7,2015359
94879,40,922999
946561,88,5387
13623,26,1283332
1389170,13,1388925
10839,63,873067
377489,13,369459
851140,13,499250
1260585,21,2999
272847,88,4936
70279,170,181132
1920757,40,2187039
1921457,40,1833702
9381,40,2187234
2806,42,72271
113492,46,114
1366457,13,1407358
446589,13,1432799
3649,21,1869410
1513594,7,418762
1400959,13,1932645
2035552,63,2035909
181901,7,81771
1402064,13,1402065
1915133,7,283121
1645508,63,833175
316764,40,1807822
111219,35,6080
788468,88,7711
2038483,40,912485
11153,42,180212
1917022,7,722466
321852,6,14866
310863,40,443220
